Index,en,fr,es,de
0,Welcome to this \c[1]Pokémon SDK\c[0] test. The FollowMe script and your appearence are set up by your choices.,Bienvenue sur ce test de \c[1]Pokémon SDK\c[0]. Le FollowMe et votre apparence vont être configurés en fonction de vos choix.,Advertencia: traducido por Google\nlBienvenido a esta prueba de Pokémon SDK. Los Pokémon que te siguen y su apariencia se configurarán de acuerdo con sus elecciones.,"Herzlich willkommen zu diesem \c[1]Pokémon SDK\c[0] Test. Der ""FollowMe"" Script und dein Aussehen werden durch deine volgenden Einstellungen bestimmt,"
1,Would you like a Pokémon following you on the map (FollowMe script) ?,Souhaitez-vous activer la fonctionnalité de Pokémon suiveur (ou FollowMe) ?,¿Quieres que los Pokémon te sigan por el mapa?,Möchtest du das dir dein Pokémon folgt?
2,Yes,Oui,Sí,Ja
3,No,Non,No,Nein
4,Would you like to look like a girl or a boy ?,Souhaitez-vous prendre l'apparence de la fille ou du garçon ?,¿Te gustaría verte como una chica o un chico?,Möchtest du wie ein Junge oder ein Mädchen aussehen?
5,"To tell PSDK the trainer gender of the player, use the script command and enter : \c[2]$trainer.set_gender(\c[1]false\c[2])\c[0]. \nlfalse means trainer is a ""boy"", true means the trainer is a ""girl"".","Pour déterminer le sexe du joueur, en fonction de son choix, il suffit d'entrer dans une commande de script ""\c[2]$trainer.set_gender(\c[1]false\c[2])\c[0]"". \nlL'argument vaut ""true"" si le joueur choisit la fille, et ""false"" s'il choisit le garçon.","Para cambiar el género del entrenador mientras juegas, usa este comando en la consola: \c[2]$trainer.set_gender(\c[1]false\c[2])\c[0]. \nlfalse cambia el género a masculino, true para cambiar el género a femenino.","Um PSDK das Geschlecht des Spielers zu verraten, benutze den volgenden Befehl:\nl \c[2]$trainer.set_gender(\c[1]false\c[2])\c[0] \nlWobei ""false"" für einen Jungen, und ""true"" für ein Mädchen steht."
6,"Initializing berry plants using \c[2]Yuki::Berries.init_berry(\c[1]id_map, id_event, id_berry\c[2])\c[0]...","Initialisation des baies au moyen de la commande \c[2]Yuki::Berries.init_berry(\c[1]id_map, id_event, id_baie\c[2])\c[0]...","Inicializando plantas de bayas utilizando \c[2]Yuki::Berries.init_berry(\c[1]id_map, id_event, id_berry\c[2])\c[0] ...","Initialisiere Beeren pflanzen mit: \nl \c[2]Yuki::Berries.init_berry(\c[1]id_map, id_event, id_berry\c[2])\c[0]"
7,"For this test, you'll get a \c[3]Pikachu\C[0] and a \C[3]Meowth\C[0] level 25 with the \C[1]Pickup\C[0] ability!","Pour ce test, nous allons vous donner un \C[3]Pikachu\C[0] et un \C[3]Miaouss\C[0] de niveau 25 pour tester le talent \C[1]Ramassage\C[0].",¡Para el mapa de prueba obtendrás un \C[3]Pikachu\C[0] y un \C[3]Meowth\C[0] al nivel 25 con la habilidad \C[1]Recogida\C[0]!,Für diesen Test wirst du ein \c[3]Pikachu\C[0] sowie ein \C[3]Mewtwo\C[0] auf Level 25 mit der Fähigkeit \C[1]Mitnahme\C[0] erhalten!\nlViel Spaß!
8,Girl,Fille,Chica,Mädchen
9,Boy,Garçon,Chico,Junge
10,,,,
11,Hello and welcome to the Pokémon SDK Alpha demo.,Bonjour et bienvenue sur la démo de Pokémon SDK.,Hola y bienvenido a la demo de Pokémon SDK.,Hallo und herzlich Willkommen zu der Pokémon SDK Alpha demo!
12,Would you like some prior information about PSDK ?,Voulez vous des informations préalables sur Pokémon SDK ?,¿Te gustaría saber alguna información previa sobre PSDK?,Zuerst erkläre ich dir ein paar wichtige Dinge zu diesem Spiel. Wähle eines der Themen wenn du mehr dazu wissen möchtest!
13,What are the controls?,Quels sont les contrôles ?,¿Cuáles son los controles?,Steuerung
14,What are the features?,Quelles sont les fonctionnalités ?,¿Cuáles son las características?,Besonderheiten
15,No,Non,No,Keine Infos mehr
16,In PSDK the cancel key and the menu key are separate keys. You can change the Key mapping by pressing F1 anytime during game play.,Dans PSDK la touche d'annulation et la touche d'ouverture du menu sont séparés. Vous pouvez changer l'association des touches à tout moment pendant le jeu.,"En PSDK, la tecla de cancelar y la tecla del menú son teclas diferentes. Puedes cambiar las teclas asignadas pulsando F1 en cualquier momento mientras juegas.",In PSDK werden die Zurück und Menü-Tasten einzeln belegt. Du kannst jederzeit mit \c[1]F1\c[0] die Einstellungen aufrufen und die Steuerung ändern. 
17,Here's the Key Mapping...[WAIT 120] ,Voici l'association des touches...[WAIT 120] ,Estas son las asignaciones de teclas...[WAIT 120],Das ist die aktuelle Steuerung...[WAIT 120]
18,"PSDK offers a lot of native feature. There's so much internal feature that it'll a pain to list them using inGame messages. If you want a more or less complete list, just check the topics about PSDK, asks people on the Discord or test the demo. It aims to show most of the PSDK features.","PSDK propose beaucoup de fonctionnalités. Il y en a tellement que les lister dans un message serait douloureux pour vous. Nous vous conseillons donc de lire le sujet à propos de PSDK, demander aux gens sur Discord ou de tester la démo puis-ce qu'elle a pour but de montrer la plupart des fonctionnalités.","PSDK ofrece un montón de características. Hay tantas características propias que sería imposible listarlas usando mensajes dentro del juego. Si quieres una lista más o menos completa, tan solo revisa los temas sobre PSDK, habla con la gente en el Discord o prueba la demo. Su objetivo de la demo es mostrar la mayoría de las características de PSDK.","PSDK bietet viele Neuerungen an; Um sich ein besseres Bild über die aktuelle Entwicklung und aller enthaltentenden Features zu verschaffen, solltest du unseren Discord Server besuchen oder die aktuellste Demo spielen, die die meisten neusten Besonderheiten abdecken sollte."
