en,fr,it,de,es,ko,kana
None,Aucun objet,Niente,Kein Item,Ningún objeto,없음,なし
Master Ball,Master Ball,Master Ball,Meisterball,Master Ball,마스터볼,マスターボール
Ultra Ball,Hyper Ball,Ultra Ball,Hyperball,Ultra Ball,하이퍼볼,ハイパーボール
Great Ball,Super Ball,Mega Ball,Superball,Super Ball,수퍼볼,スーパーボール
Poké Ball,Poké Ball,Poké Ball,Pokéball,Poké Ball,몬스터볼,モンスターボール
Safari Ball,Safari Ball,Safari Ball,Safariball,Safari Ball,사파리볼,サファリボール
Net Ball,Filet Ball,Rete Ball,Netzball,Malla Ball,넷트볼,ネットボール
Dive Ball,Scuba Ball,Sub Ball,Tauchball,Buceo Ball,다이브볼,ダイブボール
Nest Ball,Faiblo Ball,Minor Ball,Nestball,Nido Ball,네스트볼,ネストボール
Repeat Ball,Bis Ball,Bis Ball,Wiederball,Acopio Ball,리피드볼,リピートボール
Timer Ball,Chrono Ball,Timer Ball,Timerball,Turno Ball,타이마볼,タイマーボール
Luxury Ball,Luxe Ball,Chic Ball,Luxusball,Lujo Ball,럭셔리볼,ゴージャスボール
Premier Ball,Honor Ball,Premier Ball,Premierball,Honor Ball,프레미어볼,プレミアボール
Dusk Ball,Sombre Ball,Scuro Ball,Finsterball,Ocaso Ball,다크볼,ダークボール
Heal Ball,Soin Ball,Cura Ball,Heilball,Sana Ball,힐볼,ヒールボール
Quick Ball,Rapide Ball,Velox Ball,Flottball,Veloz Ball,퀵볼,クイックボール
Cherish Ball,Mémoire Ball,Pregio Ball,Jubelball,Gloria Ball,프레셔스볼,プレシャスボール
Potion,Potion,Pozione,Trank,Poción,상처약,キズぐすり
Antidote,Antidote,Antidoto,Gegengift,Antídoto,해독제,どくけし
Burn Heal,Anti-Brûle,Antiscottatura,Feuerheiler,Antiquemar,화상치료제,やけどなおし
Ice Heal,Antigel,Antigelo,Eisheiler,Antihielo,얼음상태치료제,こおりなおし
Awakening,Réveil,Sveglia,Aufwecker,Despertar,잠깨는약,ねむけざまし
Paralyze Heal,Anti-Para,Antiparalisi,Para-Heiler,Antiparalizador,마비치료제,まひなおし
Full Restore,Guérison,Ricarica Totale,Top-Genesung,Restaurar Todo,회복약,かいふくのくすり
Max Potion,Potion Max,Pozione Max,Top-Trank,Poción Máxima,풀회복약,まんたんのくすり
Hyper Potion,Hyper Potion,Iperpozione,Hypertrank,Hiperpoción,고급상처약,すごいキズぐすり
Super Potion,Super Potion,Superpozione,Supertrank,Superpoción,좋은상처약,いいキズぐすり
Full Heal,Total Soin,Cura Totale,Hyperheiler,Cura Total,만병통치제,なんでもなおし
Revive,Rappel,Revitalizzante,Beleber,Revivir,기력의조각,げんきのかけら
Max Revive,Rappel Max,Revitalizz. Max,Top-Beleber,Revivir Máximo,기력의덩어리,げんきのかたまり
Fresh Water,Eau Fraîche,Acqua Fresca,Tafelwasser,Agua Fresca,맛있는물,おいしいみず
Soda Pop,Soda Cool,Gassosa,Sprudel,Refresco,미네랄사이다,サイコソーダ
Lemonade,Limonade,Lemonsucco,Limonade,Limonada,후르츠밀크,ミックスオレ
Moomoo Milk,Lait Meumeu,Latte Mumu,Kuhmuh-Milch,Leche Mu-mu,튼튼밀크,モーモーミルク
Energy Powder,Poudrénergie,Polvenergia,Energiestaub,Polvo Energía,힘의가루,ちからのこな
