Index,fr,en,es
0,"À Gauche : Maison de \t[29,156] Howard\nlÀ Droite : Village Péhaisse-de-Cas","To the left: \t[29,156] Howard's house\nlTo the right: Peehaisse-Dee-Kay Town","A la izquierda: \t[29,156]Casa de Howard\nlA la derecha: Pueblo Peehaisse-Dee-Kay"
1,\C[2]Ralf le Collectionneur :\C[0] Tu peux te débarasser de l'arbuste juste à côté de moi si un de tes Pokémon connait \c[1]Coupe\c[0].,\c[2]Collector Ralph:\c[0] You can get rid of this tree if one of your Pokemon knows \c[1]Cut\c[0].,
2,\C[2]Ralf le Collectionneur :\C[0] Visiblement ce n'est pas le cas... Veux-tu apprendre \c[1]Coupe\c[0] à l'un de tes Pokémon ?,\c[2]Collector Ralph:\c[0] Looks like none of your Pokémon knows \c[1]Cut\c[0]. Would you like one of them to learn it ?,
3,"\C[2]Ralf le Collectionneur :\C[0] D'accord, j'apprends Coupe à ton premier Pokémon.","\c[2]Collector Ralph:\c[0] Fine, I'll teach \c[1]Cut\c[0] to your first Pokémon.",
4,\C[2]Ralf le Collectionneur :\C[0] Très bien. Reviens me voir si tu changes d'avis !,"\c[2]Collector Ralph:\c[0] Alright, come back if you change your mind!",
5,"Jean : Salut jeune aventurier !\nlJ'ai diverses choses à te demander, mais pour cela tu as besoin d'un journal pour retenir ce que je te demande...","Jean : Hi young adventurer!\nlI've got many things to ask you but first, you'll need a Quest book to remember everything I'm going to tell you...",
6,Souhaites-tu obtenir ce journal ?,Would you like to have the quest book ?,
7,"Super, je te confie deux quêtes, elles sont écrites dans le journal, reviens me voir quand tu les auras complétées !","Great, I've given you two quests, they're written in the quest book, come back when you've accomplished them.",
8,Très bien...,Alright...,
9,Jean : Tu viens pour les quêtes ?,Jean: Are you here for the quests?,
10,Donc le Pokémon que j'ai vu était bien un Férosinge !,So the Pokémon I saw really was a Mankey!,
11,Voici tes récompenses :),Here are your rewards :),
