en,fr,de,es,it,kana,ko
None,???,Nichts,Ningún objeto,Niente,なし,없음
Master Balls,Master Balls,Meisterbälle,Master Balls,Master Ball,マスターボール,마스터볼
Ultra Balls,Hyper Balls,Hyperbälle,Ultra Balls,Ultra Ball,ハイパーボール,하이퍼볼
Great Balls,Super Balls,Superbälle,Super Balls,Mega Ball,スーパーボール,수퍼볼
Poké Balls,Poké Balls,Pokébälle,Poké Balls,Poké Ball,モンスターボール,몬스터볼
Safari Balls,Safari Balls,Safaribälle,Safari Balls,Safari Ball,サファリボール,사파리볼
Net Balls,Filet Balls,Netzbälle,Malla Balls,Rete Ball,ネットボール,넷트볼
Dive Balls,Scuba Balls,Tauchbälle,Buceo Balls,Sub Ball,ダイブボール,다이브볼
Nest Balls,Faiblo Balls,Nestbälle,Nido Balls,Minor Ball,ネストボール,네스트볼
Repeat Balls,Bis Balls,Wiederbälle,Acopio Balls,Bis Ball,リピートボール,리피드볼
Timer Balls,Chrono Balls,Timerbälle,Turno Balls,Timer Ball,タイマーボール,타이마볼
Luxury Balls,Luxe Balls,Luxusbälle,Lujo Balls,Chic Ball,ゴージャスボール,럭셔리볼
Premier Balls,Honor Balls,Premierbälle,Honor Balls,Premier Ball,プレミアボール,프레미어볼
Dusk Balls,Sombre Balls,Finsterbälle,Ocaso Balls,Scuro Ball,ダークボール,다크볼
Heal Balls,Soin Balls,Heilbälle,Sana Balls,Cura Ball,ヒールボール,힐볼
Quick Balls,Rapide Balls,Flottbälle,Veloz Balls,Velox Ball,クイックボール,퀵볼
Cherish Balls,Mémoire Balls,Jubelbälle,Gloria Balls,Pregio Ball,プレシャスボール,프레셔스볼
Potions,Potions,Tränke,Pociones,Pozioni,キズぐすり,상처약
Antidotes,Antidotes,Gegengifte,Antídotos,Antidoti,どくけし,해독제
Burn Heals,Anti-Brûle,Feuerheiler,Antiquemar,Antiscottatura,やけどなおし,화상치료제
Ice Heals,Antigels,Eisheiler,Antihielos,Antigelo,こおりなおし,얼음상태치료제
Awakenings,Réveils,Aufwecker,Despertar,Sveglie,ねむけざまし,잠깨는약
Paralyze Heals,Anti-Para,Para-Heiler,Antiparalizadores,Antiparalisi,まひなおし,마비치료제
Full Restores,Guérisons,Top-Genesungen,Restaurar Todo,Ricariche Totali,かいふくのくすり,회복약
Max Potions,Potions Max,Top-Tränke,Pociones Máximas,Pozioni Max,まんたんのくすり,풀회복약
Hyper Potions,Hyper Potions,Hypertränke,Hiperpociones,Iperpozioni,すごいキズぐすり,고급상처약
Super Potions,Super Potions,Supertränke,Superpociones,Superpozioni,いいキズぐすり,좋은상처약
Full Heals,Total Soins,Hyperheiler,Curas Totales,Cure Totali,なんでもなおし,만병통치제
Revives,Rappels,Beleber,Revivir,Revitalizzanti,げんきのかけら,기력의조각
Max Revives,Rappels Max,Top-Beleber,Revivir Máximos,Revitalizz. Max,げんきのかたまり,기력의덩어리
Fresh Waters,Eaux Fraîches,Tafelwässer,Aguas Frescas,Acqua Fresca,おいしいみず,맛있는물
Soda Pops,Sodas Cool,Sprudel,Refrescos,Gassose,サイコソーダ,미네랄사이다
Lemonades,Limonades,Limonaden,Limonadas,Lemonsucchi,ミックスオレ,후르츠밀크
Moomoo Milks,Laits Meumeu,Kuhmuh-Milch,Leches Mu-mu,Latte Mumu,モーモーミルク,튼튼밀크
Energy Powders,Poudrénergies,Energiestäube,Polvos Energía,Polvenergia,ちからのこな,힘의가루
Energy Roots,Racinénergies,Kraftwurzeln,Raíces Energía,Radicenergia,ちからのねっこ,힘의뿌리
Heal Powders,Poudres Soin,Heilpuder,Polvos Curación,Polvocura,ばんのうごな,만능가루
Revival Herbs,Herbes Rappel,Vitalkräuter,Hierbas Revivir,Vitalerbe,ふっかつそう,부활초
Ethers,Huiles,Äther,Éteres,Etere,ピーピーエイド,PP에이드
Max Ethers,Huiles Max,Top-Äther,Éteres Máximos,Etere Max,ピーピーリカバー,PP회복
Elixirs,Élixirs,Elixiere,Elixires,Elisir,ピーピーエイダー,PP에이더
Max Elixirs,Max Élixirs,Top-Elixiere,Elixires Máximos,Elisir Max,ピーピーマックス,PP맥스
Lava Cookies,Lava Cookies,Lavakekse,Galletas Lava,Lavottini,フエンせんべい,용암전병
Berry Juices,Jus de Baie,Beerensäfte,Zumos de Baya,Succodibacca,きのみジュース,나무열매쥬스
Sacred Ashes,Cendres Sacrées,Zauberaschen,Cenizas Sagradas,Ceneremagica,せいなるはい,성스러운분말
HP Ups,PV Plus,KP-Plus,Más PS,PS-Su,マックスアップ,맥스업
Proteins,Protéines,Proteine,Proteínas,Proteine,タウリン,타우린
Irons,Fers,Eisen,Hierros,Ferro,ブロムヘキシン,사포닌
Carbos,Carbones,Carbon,Carburantes,Carburante,インドメタシン,알칼로이드
Calciums,Calciums,Kalzium,Calcios,Calcio,リゾチウム,리보플라빈
Rare Candies,Super Bonbons,Sonderbonbons,Caramelos Raros,Caramelle Rare,ふしぎなアメ,이상한사탕
PP Ups,PP Plus,AP-Plus,Más PP,PP-Su,ポイントアップ,포인트업
Zincs,Zincs,Zink,Zincs,Zinco,キトサン,키토산
PP Maxes,PP Max,AP-Tops,PP Máximos,PP-Max,ポイントマックス,포인트맥스
Old Gateaux,Vieux Gâteaux,Spezialitäten,Barritas Plus,Dolci Gateau,もりのヨウカン,숲의양갱
Guard Specs.,Défenses Spéciales,Megablocks,Protec. Especiales,Superguardie,エフェクトガード,이펙트가드
Dire Hits,Muscles +,Angriffplus,Directo,Supercolpi,クリティカット,크리티컬커터
X Attacks,Attaques +,X-Angriffe,Ataque X,Attacchi X,プラスパワー,플러스파워
X Defenses,Défenses +,X-Abwehr,Defensa X,Difese X,ディフェンダー,디펜드업
X Speeds,Vitesses +,X-Tempos,Velocidad X,Velocità X,スピーダー,스피드업
X Accuracies,Précisions +,X-Treffer,Precisión X,Precisioni X,ヨクアタール,잘-맞히기
X Sp. Atks,Spéciaux +,X-Spezial,Especial X,Att. Speciali X,スペシャルアップ,스페셜업
X Sp. Defs,Déf. Spé. +,X-Spezial-Vert.,Defensa Especial X,Dif. Speciali X,スペシャルガード,스페셜가드
Poké Dolls,Poké Poupées,Poképuppen,Poké Muñecos,Poké Bambole,ピッピにんぎょう,삐삐인형
Fluffy Tails,Queues Skitty,Eneco-Ruten,Colas Skitty,Code Skitty,エネコのシッポ,에나비꼬리
Blue Flutes,Flûtes Bleues,Blaue Flöten,Flautas Azules,Flauti Blu,あおいビードロ,파랑비드로
Yellow Flutes,Flûtes Jaunes,Gelbe Flöten,Flautas Amarillas,Flauti Gialli,きいろビードロ,노랑비드로
Red Flutes,Flûtes Rouges,Rote Flöten,Flautas Rojas,Flauti Rossi,あかいビードロ,빨강비드로
Black Flutes,Flûtes Noires,Schwarze Flöten,Flautas Negras,Flauti Neri,くろいビードロ,검정비드로
White Flutes,Flûtes Blanches,Weiße Flöten,Flautas Blancas,Flauti Bianchi,しろいビードロ,하양비드로
Shoal Salts,Sels Tréfonds,Küstensalze,Sales Cardumen,Sale Ondoso,あさせのしお,여울소금
Shoal Shells,CoquillesTréfonds,Küstenschalen,Conchas Cardumen,Gusciondosi,あさせのかいがら,여울조개껍질
Red Shards,Tessons Rouges,Purpurstücke,Partes Rojas,Cocci Rossi,あかいかけら,빨강조각
Blue Shards,Tessons Bleus,Indigostücke,Partes Azules,Cocci Blu,あおいかけら,파랑조각
Yellow Shards,Tessons Jaunes,Gelbstücke,Partes Amarillas,Cocci Gialli,きいろいかけら,노랑조각
Green Shards,Tessons Verts,Grünstücke,Partes Verdes,Cocci Verdi,みどりのかけら,초록조각
Super Repels,Super Repousses,Superschutze,Superrepelentes,Superrepellenti,シルバースプレー,실버스프레이
Max Repels,Max Repousses,Top-Schutze,Repelentes Máximos,Repellenti Max,ゴールドスプレー,골드스프레이
